,Open1,Open2,Open3,Open4,Open5,High1,High2,High3,High4,High5,Low1,Low2,Low3,Low4,Low5,Close1,Close2,Close3,Close4,Close5,Adj Close1,Adj Close2,Adj Close3,Adj Close4,Adj Close5,Volume1,Volume2,Volume3,Volume4,Volume5,Positive1,Positive2,Positive3,Positive4,Positive5,Neutral1,Neutral2,Neutral3,Neutral4,Neutral5,Negative1,Negative2,Negative3,Negative4,Negative5,High,Low,Close
407,114.32,116.040001,112.529999,117.809998,116.529999,116.309998,116.400002,115.419998,118.18,119.989998,114.010002,114.540001,109.629997,113.330002,116.529999,115.959999,115.150002,115.239998,113.489998,119.720001,111.564629,110.785339,110.871918,109.188248,115.182114,42929500,48535800,101217500,97082800,54951600,0,12,18,8,14,3,22,26,18,7,0,10,6,7,4,117.650002,115.5,117.160004
408,116.040001,114.32,116.040001,112.529999,117.809998,117.650002,116.309998,116.400002,115.419998,118.18,115.5,114.010002,114.540001,109.629997,113.330002,117.160004,115.959999,115.150002,115.239998,113.489998,112.719162,111.564629,110.785339,110.871918,109.188248,40884700,42929500,48535800,101217500,97082800,8,0,12,18,8,8,3,22,26,18,5,0,10,6,7,117.440002,116.010002,116.5
409,116.43,116.040001,114.32,116.040001,112.529999,117.440002,117.650002,116.309998,116.400002,115.419998,116.010002,115.5,114.010002,114.540001,109.629997,116.5,117.160004,115.959999,115.150002,115.239998,112.084152,112.719162,111.564629,110.785339,110.871918,34560700,40884700,42929500,48535800,101217500,9,8,0,12,18,7,8,3,22,26,2,5,0,10,6,116.519997,114.68,115.010002
410,116.099998,116.43,116.040001,114.32,116.040001,116.519997,117.440002,117.650002,116.309998,116.400002,114.68,116.010002,115.5,114.010002,114.540001,115.010002,116.5,117.160004,115.959999,115.150002,110.650642,112.084152,112.719162,111.564629,110.785339,47445700,34560700,40884700,42929500,48535800,8,9,8,0,12,13,7,8,3,22,4,2,5,0,10,114.349998,111.629997,112.650002
411,114.080002,116.099998,116.43,116.040001,114.32,114.349998,116.519997,117.440002,117.650002,116.309998,111.629997,114.68,116.010002,115.5,114.010002,112.650002,115.010002,116.5,117.160004,115.959999,108.380096,110.650642,112.084152,112.719162,111.564629,68501600,47445700,34560700,40884700,42929500,8,8,9,8,0,12,13,7,8,3,4,4,2,5,0,111.900002,105.650002,105.760002
412,110.43,114.080002,116.099998,116.43,116.040001,111.900002,114.349998,116.519997,117.440002,117.650002,105.650002,111.629997,114.68,116.010002,115.5,105.760002,112.650002,115.010002,116.5,117.160004,101.751259,108.380096,110.650642,112.084152,112.719162,128275500,68501600,47445700,34560700,40884700,12,8,8,9,8,15,12,13,7,8,11,4,4,2,5,108.800003,92.0,103.120003
413,94.870003,110.43,114.080002,116.099998,116.43,108.800003,111.900002,114.349998,116.519997,117.440002,92.0,105.650002,111.629997,114.68,116.010002,103.120003,105.760002,112.650002,115.010002,116.5,99.211334,101.751259,108.380096,110.650642,112.084152,162206300,128275500,68501600,47445700,34560700,27,12,8,8,9,22,15,12,13,7,13,11,4,4,2,111.110001,103.5,103.739998
414,111.110001,94.870003,110.43,114.080002,116.099998,111.110001,108.800003,111.900002,114.349998,116.519997,103.5,92.0,105.650002,111.629997,114.68,103.739998,103.120003,105.760002,112.650002,115.010002,99.807816,99.211334,101.751259,108.380096,110.650642,103601600,162206300,128275500,68501600,47445700,13,27,12,8,8,18,22,15,12,13,15,13,11,4,4,109.889999,105.050003,109.690002
415,107.089996,111.110001,94.870003,110.43,114.080002,109.889999,111.110001,108.800003,111.900002,114.349998,105.050003,103.5,92.0,105.650002,111.629997,109.690002,103.739998,103.120003,105.760002,112.650002,105.532295,99.807816,99.211334,101.751259,108.380096,96774600,103601600,162206300,128275500,68501600,9,13,27,12,8,41,18,22,15,12,5,15,13,11,4,113.239998,110.019997,112.919998
416,112.230003,107.089996,111.110001,94.870003,110.43,113.239998,109.889999,111.110001,108.800003,111.900002,110.019997,105.050003,103.5,92.0,105.650002,112.919998,109.690002,103.739998,103.120003,105.760002,108.639862,105.532295,99.807816,99.211334,101.751259,84616100,96774600,103601600,162206300,128275500,10,9,13,27,12,25,41,18,22,15,7,5,15,13,11,113.309998,111.540001,113.290001
417,112.169998,112.230003,107.089996,111.110001,94.870003,113.309998,113.239998,109.889999,111.110001,108.800003,111.540001,110.019997,105.050003,103.5,92.0,113.290001,112.919998,109.690002,103.739998,103.120003,108.995834,108.639862,105.532295,99.807816,99.211334,53164400,84616100,96774600,103601600,162206300,3,10,9,13,27,11,25,41,18,22,0,7,5,15,13,114.529999,112.0,112.760002
418,112.029999,112.169998,112.230003,107.089996,111.110001,114.529999,113.309998,113.239998,109.889999,111.110001,112.0,111.540001,110.019997,105.050003,103.5,112.760002,113.290001,112.919998,109.690002,103.739998,108.485931,108.995834,108.639862,105.532295,99.807816,56229300,53164400,84616100,96774600,103601600,6,3,10,9,13,13,11,25,41,18,2,0,7,5,15,111.879997,107.360001,107.720001
419,110.150002,112.029999,112.169998,112.230003,107.089996,111.879997,114.529999,113.309998,113.239998,109.889999,107.360001,112.0,111.540001,110.019997,105.050003,107.720001,112.760002,113.290001,112.919998,109.690002,103.636963,108.485931,108.995834,108.639862,105.532295,76845900,56229300,53164400,84616100,96774600,8,6,3,10,9,34,13,11,25,41,1,2,0,7,5,112.339996,109.129997,112.339996
420,110.230003,110.150002,112.029999,112.169998,112.230003,112.339996,111.879997,114.529999,113.309998,113.239998,109.129997,107.360001,112.0,111.540001,110.019997,112.339996,107.720001,112.760002,113.290001,112.919998,108.081833,103.636963,108.485931,108.995834,108.639862,61888800,76845900,56229300,53164400,84616100,13,8,6,3,10,12,34,13,11,25,1,1,2,0,7,112.779999,110.040001,110.370003
421,112.489998,110.230003,110.150002,112.029999,112.169998,112.779999,112.339996,111.879997,114.529999,113.309998,110.040001,109.129997,107.360001,112.0,111.540001,110.370003,112.339996,107.720001,112.760002,113.290001,106.186516,108.081833,103.636963,108.485931,108.995834,53233900,61888800,76845900,56229300,53164400,2,13,8,6,3,1,12,34,13,11,0,1,1,2,0,110.449997,108.510002,109.269997
422,108.970001,112.489998,110.230003,110.150002,112.029999,110.449997,112.779999,112.339996,111.879997,114.529999,108.510002,110.040001,109.129997,107.360001,112.0,109.269997,110.370003,112.339996,107.720001,112.760002,105.128212,106.186516,108.081833,103.636963,108.485931,49996300,53233900,61888800,76845900,56229300,3,2,13,8,6,5,1,12,34,13,19,0,1,1,2,112.559998,110.32,112.309998
423,111.75,108.970001,112.489998,110.230003,110.150002,112.559998,110.449997,112.779999,112.339996,111.879997,110.32,108.510002,110.040001,109.129997,107.360001,112.309998,109.269997,110.370003,112.339996,107.720001,108.052979,105.128212,106.186516,108.081833,103.636963,54843600,49996300,53233900,61888800,76845900,13,3,2,13,8,24,5,1,12,34,6,19,0,1,1,114.019997,109.769997,110.150002
424,113.760002,111.75,108.970001,112.489998,110.230003,114.019997,112.559998,110.449997,112.779999,112.339996,109.769997,110.32,108.510002,110.040001,109.129997,110.150002,112.309998,109.269997,110.370003,112.339996,105.974854,108.052979,105.128212,106.186516,108.081833,85010800,54843600,49996300,53233900,61888800,46,13,3,2,13,70,24,5,1,12,12,6,19,0,1,113.279999,109.900002,112.57
425,110.269997,113.760002,111.75,108.970001,112.489998,113.279999,114.019997,112.559998,110.449997,112.779999,109.900002,109.769997,110.32,108.510002,110.040001,112.57,110.150002,112.309998,109.269997,110.370003,108.303116,105.974854,108.052979,105.128212,106.186516,62892800,85010800,54843600,49996300,53233900,17,46,13,3,2,30,70,24,5,1,14,12,6,19,0,114.209999,111.760002,114.209999
426,111.790001,110.269997,113.760002,111.75,108.970001,114.209999,113.279999,114.019997,112.559998,110.449997,111.760002,109.900002,109.769997,110.32,108.510002,114.209999,112.57,110.150002,112.309998,109.269997,109.880959,108.303116,105.974854,108.052979,105.128212,49915500,62892800,85010800,54843600,49996300,19,17,46,13,3,21,30,70,24,5,2,14,12,6,19,116.889999,114.860001,115.309998
427,116.580002,111.790001,110.269997,113.760002,111.75,116.889999,114.209999,113.279999,114.019997,112.559998,114.860001,111.760002,109.900002,109.769997,110.32,115.309998,114.209999,112.57,110.150002,112.309998,110.939262,109.880959,108.303116,105.974854,108.052979,58363400,49915500,62892800,85010800,54843600,16,19,17,46,13,18,21,30,70,24,5,2,14,12,6,116.529999,114.419998,116.279999
428,115.93,116.580002,111.790001,110.269997,113.760002,116.529999,116.889999,114.209999,113.279999,114.019997,114.419998,114.860001,111.760002,109.900002,109.769997,116.279999,115.309998,114.209999,112.57,110.150002,111.872498,110.939262,109.880959,108.303116,105.974854,43341200,58363400,49915500,62892800,85010800,9,16,19,17,46,13,18,21,30,70,2,5,2,14,12,116.540001,115.440002,116.410004
429,116.25,115.93,116.580002,111.790001,110.269997,116.540001,116.529999,116.889999,114.209999,113.279999,115.440002,114.419998,114.860001,111.760002,109.900002,116.410004,116.279999,115.309998,114.209999,112.57,111.997581,111.872498,110.939262,109.880959,108.303116,37173500,43341200,58363400,49915500,62892800,10,9,16,19,17,5,13,18,21,30,0,2,5,2,14,116.489998,113.720001,113.919998
